"decision_point","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
7,18,15,2.933,2.539,3.328
8,17,12,2.75,2.27,3.23
9,23,17,2.588,2.225,2.952
10,26,22,2.727,2.315,3.139
11,25,17,2.471,2.014,2.927
12,24,14,2.333,1.827,2.84
13,19,11,3.091,2.645,3.537
14,17,13,2.231,1.72,2.742
15,23,15,2.529,1.997,3.061
16,24,10,3.6,3.255,3.945
17,22,17,2.235,1.662,2.808
18,13,6,3,2.225,3.775
19,12,6,2.857,2.46,3.254
20,19,12,2.5,1.903,3.097
21,15,12,3.167,2.591,3.743
22,25,19,3.105,2.666,3.545
23,14,9,3.222,2.878,3.567
24,20,8,2.875,2.03,3.72
25,14,8,3.125,2.671,3.579
26,21,15,2.8,2.281,3.319
27,12,11,2.818,2.354,3.282
28,20,12,2.667,2.142,3.192
29,18,11,3.25,2.811,3.689
30,20,7,2.286,1.425,3.147
31,23,15,3.267,2.939,3.594
32,24,11,3,2.482,3.518
33,15,8,3.222,2.791,3.653
34,19,13,3.308,2.892,3.723
35,15,7,3.429,2.558,4.299
36,23,9,2.889,2.286,3.492
37,21,13,3.462,3.172,3.751
38,18,12,2.583,1.956,3.21
39,17,13,2.769,2.258,3.28
40,22,18,2.833,2.329,3.338
41,24,17,3.235,2.86,3.611
42,15,5,3.2,2.342,4.058
43,22,16,3.059,2.638,3.48
44,17,10,3.3,2.777,3.823
45,15,10,2.9,2.357,3.443
46,26,16,3.25,2.942,3.558
47,16,13,2.462,1.879,3.045
48,20,9,3.333,2.755,3.911
49,19,11,3.455,3.129,3.78
50,15,8,3.25,2.768,3.732
51,12,8,2.875,2.197,3.553
52,19,11,2.727,1.992,3.463
53,25,13,3.462,3.121,3.802
54,24,12,3,2.487,3.513
