"decision_point","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
7,16,11,2.636,2.199,3.073
8,26,15,3.067,2.59,3.544
9,21,17,2.706,2.198,3.214
10,25,16,2.938,2.568,3.307
11,22,14,2.4,1.89,2.91
12,16,8,3.375,2.97,3.78
13,17,9,1.778,1.275,2.28
14,27,21,2.762,2.306,3.217
15,17,16,2.938,2.366,3.509
16,21,11,2.364,1.654,3.074
17,27,16,2.375,1.942,2.808
18,17,6,1.833,1.117,2.55
19,22,13,3.133,2.646,3.62
20,27,21,2.905,2.463,3.347
21,21,13,2.385,1.893,2.876
22,22,19,3.211,2.873,3.548
23,17,11,3.091,2.645,3.537
24,16,6,3.167,2.564,3.769
25,23,17,3,2.589,3.411
26,17,12,3.385,3.048,3.721
27,21,13,2.615,2.063,3.168
28,19,13,3.077,2.744,3.41
29,18,9,2.778,2.157,3.399
30,16,8,3,2.231,3.769
31,19,12,2.667,2.263,3.07
32,16,11,3,2.331,3.669
33,21,14,3.5,3.102,3.898
34,18,13,3.077,2.556,3.597
35,19,11,3.091,2.514,3.668
36,18,8,3,2.231,3.769
37,24,13,3.077,2.556,3.597
38,23,17,2.706,2.237,3.175
39,25,14,2.571,2.028,3.115
40,23,15,2.867,2.23,3.504
41,17,11,3.455,3.013,3.896
42,22,13,3.462,3.077,3.846
43,15,8,3.375,2.729,4.021
44,25,19,2.895,2.455,3.334
45,21,12,3.583,3.223,3.944
46,24,17,3,2.589,3.411
47,24,15,3,2.463,3.537
48,19,8,2.875,2.421,3.329
49,22,17,2.882,2.32,3.445
50,23,17,3.118,2.733,3.502
51,24,14,2.786,2.373,3.199
52,24,16,2.75,2.216,3.284
53,19,10,3.3,2.64,3.96
54,21,6,3,2.452,3.548
