"decision_point","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
7,44,33,2.606,2.201,3.011
8,47,36,2.444,2.119,2.77
9,44,33,2.636,2.285,2.988
10,35,24,2.292,1.898,2.685
11,36,30,2.733,2.405,3.062
12,37,18,2.444,1.957,2.932
13,42,32,2.406,1.996,2.817
14,39,25,2.962,2.587,3.336
15,41,28,2.893,2.567,3.218
16,35,23,2.739,2.358,3.12
17,29,21,2.857,2.502,3.212
18,40,16,2.941,2.52,3.362
19,42,29,2.724,2.3,3.148
20,43,31,2.75,2.459,3.041
21,49,36,3.111,2.817,3.406
22,37,21,2.81,2.401,3.218
23,48,25,3.037,2.638,3.436
24,40,21,3.143,2.788,3.498
25,33,17,3.235,2.886,3.585
26,39,27,3.296,2.976,3.617
27,40,27,3.407,3.175,3.64
28,32,20,3.05,2.711,3.389
29,36,28,3.143,2.824,3.462
30,35,14,3.267,2.843,3.69
31,29,13,3.154,2.76,3.548
32,39,27,3.296,3.026,3.566
33,42,32,3.273,2.948,3.598
34,41,27,3.148,2.776,3.521
35,41,25,2.88,2.493,3.267
36,33,15,3.4,2.94,3.86
37,32,16,3,2.564,3.436
38,37,27,3.296,2.988,3.605
39,31,26,3,2.666,3.334
40,31,22,2.909,2.462,3.357
41,35,23,2.913,2.55,3.276
42,39,17,2.944,2.547,3.342
43,38,29,2.967,2.662,3.272
44,41,24,3.167,2.865,3.468
45,45,32,3.125,2.837,3.413
46,29,19,2.947,2.436,3.459
47,38,28,2.786,2.393,3.179
48,37,17,3.118,2.646,3.589
49,30,19,3.158,2.729,3.587
50,38,24,3.167,2.85,3.483
51,45,31,3.097,2.823,3.371
52,38,27,3.333,2.989,3.678
53,37,26,2.846,2.515,3.177
54,32,15,3.267,2.815,3.718
