"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)"," 0.39806","0.40891","-0.40338"," 1.19951","-0.27453"," 1.07066","0.33031"
"Treatment x Day","-0.43575","0.30160","-1.02687"," 0.15537","-0.93183"," 0.06033","0.14851"
"Treatment x Day Squared"," 0.10314","0.06451","-0.02330"," 0.22959","-0.00297"," 0.20926","0.10987"
"Treatment x Day Cubed","-0.00678","0.00416","-0.01494"," 0.00138","-0.01363"," 0.00006","0.10323"
"Treatment Effect on Day 1"," 0.05867","0.17973","-0.29358"," 0.41093","-0.23695"," 0.35430","0.74408"
"Treatment Effect on Day 2","-0.11513","0.07485","-0.26183"," 0.03156","-0.23825"," 0.00798","0.12399"
"Treatment Effect on Day 3","-0.16406","0.06843","-0.29817","-0.02995","-0.27661","-0.05151","0.01650"
"Treatment Effect on Day 4","-0.12881","0.06411","-0.25447","-0.00316","-0.23427","-0.02336","0.04452"
"Treatment Effect on Day 5","-0.05009","0.05134","-0.15071"," 0.05053","-0.13453"," 0.03435","0.32923"
"Treatment Effect on Day 6"," 0.03140","0.05339","-0.07324"," 0.13605","-0.05641"," 0.11922","0.55638"
"Treatment Effect on Day 7"," 0.07497","0.05775","-0.03822"," 0.18816","-0.02003"," 0.16996","0.19426"
"Treatment Effect on Day 8"," 0.03989","0.05731","-0.07243"," 0.15222","-0.05437"," 0.13416","0.48639"
"(Intercept)"," 0.78413","0.18257"," 0.42630"," 1.14195"," 0.48383"," 1.08442","0.00002"
"days_between_v1_and_coinflip_local"," 0.12181","0.11570","-0.10495"," 0.34857","-0.06850"," 0.31212","0.29242"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.00963","0.02584","-0.06027"," 0.04101","-0.05213"," 0.03287","0.70937"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.00004","0.00172","-0.00333"," 0.00340","-0.00279"," 0.00286","0.98296"
"motivation_cig_lag1"," 0.64821","0.03646"," 0.57674"," 0.71967"," 0.58823"," 0.70818","0.00000"
"Y_lag1"," 0.02383","0.05624","-0.08639"," 0.13405","-0.06867"," 0.11633","0.67175"
"cigarette_counts_lag1","-0.03406","0.01963","-0.07253"," 0.00442","-0.06634","-0.00177","0.08275"
