"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)","-0.16389","0.09613","-0.35230","0.02453","-0.32201","-0.00576","0.08823"
"Treatment x Day"," 0.02335","0.01676","-0.00951","0.05620","-0.00422"," 0.05092","0.16368"
"Treatment Effect on Day 1","-0.14054","0.08051","-0.29833","0.01725","-0.27296","-0.00812","0.08086"
"Treatment Effect on Day 2","-0.11719","0.06544","-0.24546","0.01107","-0.22484","-0.00955","0.07333"
"Treatment Effect on Day 3","-0.09385","0.05144","-0.19467","0.00698","-0.17846","-0.00923","0.06811"
"Treatment Effect on Day 4","-0.07050","0.03965","-0.14820","0.00721","-0.13571","-0.00529","0.07538"
"Treatment Effect on Day 5","-0.04715","0.03255","-0.11094","0.01664","-0.10069"," 0.00639","0.14743"
"Treatment Effect on Day 6","-0.02380","0.03330","-0.08907","0.04146","-0.07858"," 0.03097","0.47470"
"Treatment Effect on Day 7","-0.00046","0.04148","-0.08175","0.08084","-0.06868"," 0.06777","0.99121"
"Treatment Effect on Day 8"," 0.02289","0.05379","-0.08254","0.12832","-0.06559"," 0.11137","0.67046"
"(Intercept)"," 0.95368","0.12342"," 0.71178","1.19558"," 0.75067"," 1.15669","0.00000"
"days_between_v1_and_coinflip_local"," 0.02749","0.00865"," 0.01054","0.04444"," 0.01327"," 0.04172","0.00148"
"motivation_cig_lag1"," 0.65311","0.03648"," 0.58161","0.72461"," 0.59311"," 0.71311","0.00000"
"Y_lag1"," 0.02846","0.05683","-0.08293","0.13985","-0.06502"," 0.12194","0.61656"
"cigarette_counts_lag1","-0.03740","0.01950","-0.07561","0.00081","-0.06947","-0.00533","0.05508"
