"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)","-0.14590","0.19221","-0.52264"," 0.23083","-0.46207"," 0.17026","0.44781"
"Treatment x Day"," 0.01637","0.08144","-0.14325"," 0.17598","-0.11759"," 0.15032","0.84071"
"Treatment x Day Squared"," 0.00062","0.00768","-0.01442"," 0.01567","-0.01200"," 0.01325","0.93522"
"Treatment Effect on Day 1","-0.12891","0.12388","-0.37171"," 0.11388","-0.33267"," 0.07485","0.29804"
"Treatment Effect on Day 2","-0.11067","0.07504","-0.25775"," 0.03640","-0.23410"," 0.01276","0.14025"
"Treatment Effect on Day 3","-0.09119","0.05075","-0.19065"," 0.00828","-0.17466","-0.00771","0.07237"
"Treatment Effect on Day 4","-0.07045","0.04865","-0.16581"," 0.02491","-0.15048"," 0.00958","0.14761"
"Treatment Effect on Day 5","-0.04847","0.05106","-0.14855"," 0.05161","-0.13246"," 0.03552","0.34252"
"Treatment Effect on Day 6","-0.02524","0.04808","-0.11947"," 0.06900","-0.10432"," 0.05385","0.59966"
"Treatment Effect on Day 7","-0.00076","0.04370","-0.08641"," 0.08489","-0.07264"," 0.07112","0.98614"
"Treatment Effect on Day 8"," 0.02497","0.05696","-0.08668"," 0.13661","-0.06873"," 0.11866","0.66118"
"(Intercept)"," 0.78822","0.14492"," 0.50418"," 1.07226"," 0.54984"," 1.02659","0.00000"
"days_between_v1_and_coinflip_local"," 0.11908","0.03728"," 0.04602"," 0.19215"," 0.05776"," 0.18040","0.00140"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.00905","0.00353","-0.01597","-0.00213","-0.01486","-0.00325","0.01034"
"motivation_cig_lag1"," 0.64849","0.03643"," 0.57708"," 0.71990"," 0.58856"," 0.70842","0.00000"
"Y_lag1"," 0.02341","0.05631","-0.08696"," 0.13378","-0.06921"," 0.11604","0.67758"
"cigarette_counts_lag1","-0.03452","0.01974","-0.07320"," 0.00416","-0.06698","-0.00206","0.08027"
