"","Estimate","StdErr","Z_statistic","p_value","LCL","UCL","LCL90","UCL90"
"(Intercept)"," 0.87070","0.14039"," 6.20210","0.00000"," 0.59554"," 1.14585"," 0.63978"," 1.10161"
"days_between_v1_and_coinflip_local"," 0.01524","0.00855"," 1.78263","0.07465","-0.00152"," 0.03200"," 0.00118"," 0.02930"
"self_efficacy_cig_lag1"," 0.65956","0.04197","15.71637","0.00000"," 0.57731"," 0.74181"," 0.59053"," 0.72859"
"any_response_2qs"," 0.06425","0.07000"," 0.91787","0.35869","-0.07294"," 0.20144","-0.05089"," 0.17939"
"is_high_effort"," 0.05938","0.09995"," 0.59414","0.55242","-0.13651"," 0.25528","-0.10502"," 0.22379"
"is_low_effort"," 0.24833","0.10024"," 2.47746","0.01323"," 0.05187"," 0.44479"," 0.08346"," 0.41321"
"I(is_high_effort * any_response_2qs)","-0.08999","0.10727"," 0.83894","0.40151","-0.30024"," 0.12025","-0.26643"," 0.08645"
"I(is_low_effort * any_response_2qs)","-0.27637","0.11091"," 2.49183","0.01271","-0.49375","-0.05899","-0.45880","-0.09394"
"High Effort Prompt vs Low Effort Prompt","-0.18895","0.10749","-1.75783","0.07878","-0.39962"," 0.02173","-0.36575","-0.01214"
"High Effort Prompt vs Low Effort Prompt x Any Response to Two-Question Survey"," 0.18638","0.12098"," 1.54052","0.12343","-0.05074"," 0.42350","-0.01262"," 0.38537"
