"","Estimate","StdErr","Z_statistic","p_value","LCL","UCL","LCL90","UCL90"
"(Intercept)"," 0.63067","0.17786"," 3.54595","0.00039"," 0.28208"," 0.97926"," 0.33812"," 0.92322"
"days_between_v1_and_coinflip_local"," 0.17310","0.06278"," 2.75739","0.00583"," 0.05006"," 0.29613"," 0.06984"," 0.27635"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.01601","0.00596"," 2.68640","0.00722","-0.02768","-0.00433","-0.02581","-0.00621"
"self_efficacy_cig_lag1"," 0.65479","0.04183","15.65232","0.00000"," 0.57280"," 0.73678"," 0.58598"," 0.72360"
"is_high_effort"," 0.18230","0.20974"," 0.86919","0.38474","-0.22877"," 0.59337","-0.16268"," 0.52728"
"is_low_effort"," 0.19038","0.26546"," 0.71716","0.47327","-0.32991"," 0.71066","-0.24626"," 0.62702"
"I(is_high_effort * days_between_v1_and_coinflip_local)","-0.12019","0.10460"," 1.14898","0.25056","-0.32521"," 0.08483","-0.29225"," 0.05187"
"I(is_low_effort * days_between_v1_and_coinflip_local)","-0.07157","0.11738"," 0.60971","0.54205","-0.30164"," 0.15850","-0.26465"," 0.12151"
"I(is_high_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.01358","0.01088"," 1.24812","0.21199","-0.00774"," 0.03490","-0.00432"," 0.03147"
"I(is_low_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.00686","0.01115"," 0.61526","0.53838","-0.01499"," 0.02872","-0.01148"," 0.02520"
"High Effort Prompt vs Low Effort Prompt","-0.00808","0.27013","-0.02990","0.97615","-0.53752"," 0.52137","-0.45240"," 0.43625"
"High Effort Prompt vs Low Effort Prompt x Day","-0.04862","0.13854","-0.35093","0.72564","-0.32015"," 0.22292","-0.27650"," 0.17926"
"High Effort Prompt vs Low Effort Prompt x Day Squared"," 0.00672","0.01450"," 0.46322","0.64321","-0.02170"," 0.03513","-0.01713"," 0.03056"
"High Effort Prompt vs. Low Effort Prompt: Day 1","-0.04998","0.15537","-0.32168","0.74769","-0.35449"," 0.25454","-0.30554"," 0.20558"
"High Effort Prompt vs. Low Effort Prompt: Day 2","-0.07845","0.08389","-0.93521","0.34968","-0.24286"," 0.08596","-0.21643"," 0.05953"
"High Effort Prompt vs. Low Effort Prompt: Day 3","-0.09349","0.07372","-1.26821","0.20472","-0.23798"," 0.05100","-0.21475"," 0.02777"
"High Effort Prompt vs. Low Effort Prompt: Day 4","-0.09510","0.09026","-1.05361","0.29206","-0.27201"," 0.08181","-0.24357"," 0.05337"
"High Effort Prompt vs. Low Effort Prompt: Day 5","-0.08328","0.09505","-0.87618","0.38093","-0.26958"," 0.10301","-0.23963"," 0.07306"
"High Effort Prompt vs. Low Effort Prompt: Day 6","-0.05803","0.08366","-0.69361","0.48793","-0.22201"," 0.10595","-0.19564"," 0.07958"
"High Effort Prompt vs. Low Effort Prompt: Day 7","-0.01935","0.07740","-0.24999","0.80260","-0.17104"," 0.13234","-0.14665"," 0.10796"
"High Effort Prompt vs. Low Effort Prompt: Day 8"," 0.03277","0.12246"," 0.26755","0.78905","-0.20726"," 0.27279","-0.16867"," 0.23420"
"Low Effort Prompt vs. No Prompt: Day 1"," 0.12567","0.16728"," 0.75125","0.45250","-0.20219"," 0.45352","-0.14948"," 0.40081"
"Low Effort Prompt vs. No Prompt: Day 2"," 0.07468","0.09927"," 0.75226","0.45189","-0.11989"," 0.26925","-0.08861"," 0.23797"
"Low Effort Prompt vs. No Prompt: Day 3"," 0.03741","0.07132"," 0.52457","0.59988","-0.10238"," 0.17720","-0.07990"," 0.15473"
"Low Effort Prompt vs. No Prompt: Day 4"," 0.01387","0.07523"," 0.18437","0.85372","-0.13357"," 0.16131","-0.10987"," 0.13760"
"Low Effort Prompt vs. No Prompt: Day 5"," 0.00405","0.08086"," 0.05005","0.96009","-0.15443"," 0.16252","-0.12895"," 0.13704"
"Low Effort Prompt vs. No Prompt: Day 6"," 0.00795","0.07533"," 0.10548","0.91599","-0.13969"," 0.15558","-0.11596"," 0.13185"
"Low Effort Prompt vs. No Prompt: Day 7"," 0.02557","0.06327"," 0.40406","0.68617","-0.09845"," 0.14958","-0.07851"," 0.12964"
"Low Effort Prompt vs. No Prompt: Day 8"," 0.05691","0.07379"," 0.77120","0.44059","-0.08772"," 0.20154","-0.06447"," 0.17829"
"High Effort Prompt vs. No Prompt: Day 1"," 0.07569","0.12330"," 0.61387","0.53930","-0.16597"," 0.31734","-0.12712"," 0.27849"
"High Effort Prompt vs. No Prompt: Day 2","-0.00377","0.06819","-0.05531","0.95589","-0.13743"," 0.12988","-0.11594"," 0.10840"
"High Effort Prompt vs. No Prompt: Day 3","-0.05608","0.05639","-0.99445","0.32000","-0.16660"," 0.05445","-0.14883"," 0.03668"
"High Effort Prompt vs. No Prompt: Day 4","-0.08123","0.06691","-1.21402","0.22474","-0.21238"," 0.04991","-0.19129"," 0.02883"
"High Effort Prompt vs. No Prompt: Day 5","-0.07923","0.07119","-1.11306","0.26568","-0.21876"," 0.06029","-0.19633"," 0.03786"
"High Effort Prompt vs. No Prompt: Day 6","-0.05008","0.06570","-0.76237","0.44584","-0.17885"," 0.07868","-0.15815"," 0.05798"
"High Effort Prompt vs. No Prompt: Day 7"," 0.00622","0.06654"," 0.09346","0.92554","-0.12419"," 0.13663","-0.10323"," 0.11566"
"High Effort Prompt vs. No Prompt: Day 8"," 0.08967","0.10220"," 0.87740","0.38027","-0.11064"," 0.28999","-0.07844"," 0.25779"
