"decision_point","n","Qbar","pooled_stderr","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
7,9,3.026,0.231,2.646,3.406,0.047,0.006,150,0.053,0.111,0.125,8,5.816,12001.157,5.813,0.313
8,18,2.673,0.294,2.189,3.157,0.069,0.018,150,0.087,0.206,0.26,17,12.141,3495.19,12.099,0.312
9,18,2.661,0.226,2.29,3.033,0.04,0.011,150,0.051,0.221,0.284,17,11.918,3049.663,11.872,0.326
10,22,2.738,0.237,2.349,3.127,0.052,0.004,150,0.056,0.079,0.085,21,17.737,24108.379,17.724,0.168
11,24,2.507,0.239,2.114,2.901,0.048,0.009,150,0.057,0.16,0.19,23,17.834,5822.198,17.78,0.241
12,16,2.342,0.278,1.885,2.799,0.059,0.019,150,0.077,0.242,0.32,15,10.104,2539.293,10.063,0.358
13,18,2.921,0.311,2.41,3.432,0.059,0.037,150,0.097,0.385,0.625,17,9.417,1007.817,9.33,0.484
14,17,2.294,0.304,1.795,2.794,0.077,0.015,150,0.092,0.162,0.193,16,12.001,5698.31,11.976,0.274
15,23,2.487,0.302,1.99,2.984,0.074,0.017,150,0.091,0.188,0.232,22,16.434,4213.132,16.37,0.272
16,26,3.361,0.26,2.933,3.789,0.027,0.04,150,0.068,0.595,1.467,25,9.409,421.329,9.204,0.661
17,25,2.256,0.315,1.738,2.774,0.085,0.014,150,0.099,0.138,0.16,24,19.158,7836.526,19.111,0.216
18,24,2.427,0.4,1.769,3.085,0.124,0.036,150,0.16,0.228,0.295,23,16.389,2865.269,16.296,0.308
19,19,2.773,0.397,2.12,3.425,0.076,0.081,150,0.157,0.517,1.069,18,7.871,558.128,7.762,0.607
20,17,2.503,0.327,1.965,3.04,0.075,0.031,150,0.107,0.294,0.416,16,10.113,1728.52,10.054,0.402
21,23,3.096,0.325,2.562,3.631,0.093,0.012,150,0.106,0.115,0.13,22,17.919,11327.85,17.89,0.199
22,24,2.961,0.252,2.547,3.376,0.055,0.009,150,0.064,0.14,0.163,23,18.261,7617.584,18.218,0.221
23,22,3.24,0.27,2.796,3.684,0.041,0.032,150,0.073,0.435,0.771,21,10.867,785.636,10.718,0.518
24,13,3.04,0.334,2.492,3.589,0.071,0.04,150,0.111,0.359,0.56,12,6.666,1156.006,6.628,0.492
25,12,3.102,0.295,2.617,3.587,0.052,0.034,150,0.087,0.398,0.66,11,5.678,941.795,5.644,0.537
26,19,2.787,0.284,2.32,3.254,0.067,0.013,150,0.081,0.165,0.198,18,13.595,5456.43,13.561,0.266
27,15,2.799,0.287,2.328,3.27,0.074,0.008,150,0.082,0.095,0.105,14,11.179,16493.593,11.171,0.223
28,25,2.68,0.281,2.218,3.143,0.059,0.02,150,0.079,0.252,0.337,24,16.616,2340.785,16.499,0.329
29,14,3.099,0.273,2.649,3.548,0.055,0.02,150,0.075,0.267,0.365,13,8.333,2083.679,8.3,0.397
30,20,2.361,0.433,1.649,3.074,0.085,0.102,150,0.188,0.545,1.198,19,7.86,501.716,7.739,0.63
31,14,3.252,0.203,2.917,3.586,0.029,0.012,150,0.041,0.296,0.421,13,8.006,1698.463,7.968,0.425
32,21,3.022,0.286,2.552,3.493,0.046,0.036,150,0.082,0.438,0.779,20,10.264,777.039,10.131,0.524
33,12,3.047,0.321,2.519,3.574,0.066,0.037,150,0.103,0.363,0.569,11,6.008,1131.933,5.976,0.505
34,20,3.257,0.254,2.84,3.675,0.048,0.016,150,0.064,0.25,0.334,19,12.946,2374.576,12.876,0.345
35,18,2.862,0.533,1.986,3.738,0.157,0.126,150,0.284,0.447,0.809,17,8.456,744.733,8.361,0.545
36,20,3.032,0.293,2.551,3.514,0.046,0.04,150,0.086,0.466,0.873,19,9.224,686.274,9.102,0.554
37,23,3.282,0.238,2.889,3.674,0.033,0.024,150,0.057,0.42,0.724,22,11.741,845.04,11.58,0.499
38,24,2.556,0.356,1.97,3.142,0.09,0.037,150,0.127,0.293,0.415,23,15.009,1735.064,14.88,0.372
39,15,2.701,0.295,2.215,3.186,0.073,0.014,150,0.087,0.16,0.191,14,10.37,5785.207,10.352,0.286
40,19,2.903,0.288,2.429,3.378,0.074,0.009,150,0.083,0.108,0.121,18,14.528,12795.302,14.512,0.21
41,15,3.195,0.214,2.843,3.547,0.037,0.009,150,0.046,0.195,0.242,14,9.942,3912.341,9.917,0.32
42,23,3,0.341,2.44,3.561,0.074,0.042,150,0.116,0.363,0.571,22,12.886,1128.699,12.741,0.444
43,21,3.019,0.243,2.619,3.419,0.05,0.009,150,0.059,0.154,0.183,20,15.442,6253.718,15.404,0.246
44,18,3.213,0.283,2.748,3.678,0.056,0.024,150,0.08,0.303,0.434,17,10.669,1626.373,10.599,0.405
45,17,2.981,0.297,2.493,3.469,0.071,0.017,150,0.088,0.191,0.236,16,11.579,4076.246,11.546,0.302
