"decision_point","n","Qbar","pooled_stderr","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
7,13,2.632,0.321,2.105,3.16,0.066,0.036,50,0.103,0.36,0.563,12,6.655,377.934,6.54,0.494
8,24,2.977,0.263,2.544,3.41,0.052,0.017,50,0.069,0.256,0.344,23,15.8,749.002,15.474,0.336
9,21,2.692,0.289,2.218,3.167,0.073,0.01,50,0.083,0.122,0.138,20,16.042,3318.537,15.965,0.214
10,25,2.97,0.219,2.611,3.33,0.035,0.013,50,0.048,0.277,0.382,24,16.074,640.158,15.68,0.354
11,21,2.344,0.276,1.89,2.797,0.067,0.008,50,0.076,0.113,0.128,20,16.191,3812.457,16.122,0.206
12,15,2.847,0.36,2.254,3.439,0.088,0.041,50,0.13,0.325,0.482,14,8.333,462.713,8.186,0.446
13,13,1.957,0.408,1.286,2.628,0.083,0.081,50,0.166,0.498,0.992,12,5.22,197.492,5.085,0.622
14,26,2.746,0.283,2.281,3.212,0.062,0.017,50,0.08,0.222,0.286,25,18.053,991.098,17.73,0.297
15,17,2.908,0.346,2.339,3.478,0.114,0.006,50,0.12,0.053,0.056,16,13.557,17426.634,13.546,0.167
16,19,2.515,0.345,1.947,3.083,0.09,0.029,50,0.119,0.249,0.331,18,12.232,790.94,12.046,0.349
17,25,2.407,0.259,1.981,2.833,0.048,0.019,50,0.067,0.283,0.395,24,15.932,611.537,15.527,0.36
18,17,2.125,0.374,1.51,2.74,0.098,0.041,50,0.14,0.297,0.423,16,10.057,553.648,9.877,0.407
19,15,2.871,0.367,2.267,3.474,0.098,0.036,50,0.135,0.27,0.37,14,9.02,672.907,8.9,0.393
20,26,2.911,0.265,2.475,3.347,0.056,0.014,50,0.07,0.197,0.245,25,18.645,1264.729,18.374,0.272
21,21,2.474,0.286,2.004,2.945,0.057,0.025,50,0.082,0.31,0.449,20,12.6,509.894,12.296,0.4
22,22,3.225,0.2,2.896,3.555,0.036,0.004,50,0.04,0.101,0.112,21,17.309,4820.494,17.247,0.19
23,17,3.149,0.266,2.713,3.586,0.05,0.02,50,0.071,0.288,0.405,16,10.188,589.266,10.014,0.398
24,15,3.129,0.351,2.552,3.706,0.07,0.052,50,0.123,0.434,0.766,14,6.996,260.536,6.813,0.549
25,21,3.053,0.238,2.661,3.445,0.048,0.008,50,0.057,0.147,0.173,20,15.572,2259.91,15.465,0.24
26,14,3.09,0.285,2.622,3.558,0.057,0.024,50,0.081,0.301,0.431,13,7.951,540.733,7.836,0.43
27,20,2.872,0.277,2.416,3.328,0.059,0.017,50,0.077,0.229,0.297,19,13.315,933.348,13.128,0.325
28,18,3.011,0.212,2.662,3.36,0.03,0.015,50,0.045,0.34,0.515,17,10.097,423.654,9.862,0.443
