"decision_point","n","Qbar","pooled_stderr","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
7,44,2.622,0.223,2.255,2.988,0.042,0.007,50,0.05,0.15,0.177,43,34.95,2169.855,34.396,0.196
8,47,2.445,0.187,2.137,2.753,0.029,0.006,50,0.035,0.183,0.223,46,36.064,1468.991,35.2,0.225
9,44,2.603,0.199,2.276,2.931,0.033,0.007,50,0.04,0.176,0.214,43,33.877,1575.588,33.164,0.222
10,35,2.386,0.207,2.046,2.725,0.038,0.005,50,0.043,0.117,0.132,34,28.415,3608.971,28.193,0.173
11,36,2.663,0.205,2.325,3,0.033,0.009,50,0.042,0.217,0.278,35,25.946,1035.809,25.312,0.273
12,37,2.457,0.235,2.07,2.843,0.044,0.011,50,0.055,0.199,0.248,36,27.374,1243.321,26.784,0.252
13,42,2.507,0.227,2.133,2.881,0.045,0.007,50,0.052,0.133,0.154,41,33.922,2760.507,33.51,0.181
14,39,3.006,0.21,2.661,3.35,0.033,0.01,50,0.044,0.243,0.322,38,27.352,827.829,26.477,0.295
15,41,2.902,0.201,2.572,3.233,0.028,0.012,50,0.04,0.297,0.423,40,26.806,554.876,25.57,0.346
16,35,2.827,0.207,2.486,3.168,0.036,0.006,50,0.043,0.154,0.182,34,27.221,2075.972,26.869,0.21
17,29,2.854,0.218,2.496,3.212,0.037,0.011,50,0.047,0.23,0.299,28,20.165,925.091,19.735,0.298
18,40,2.857,0.198,2.531,3.183,0.029,0.01,50,0.039,0.272,0.374,39,27.04,662.344,25.98,0.322
19,42,2.743,0.238,2.351,3.135,0.043,0.014,50,0.057,0.246,0.326,41,29.52,811.614,28.484,0.294
20,43,2.697,0.19,2.385,3.009,0.027,0.009,50,0.036,0.258,0.348,42,29.77,734.913,28.611,0.305
21,49,3.09,0.17,2.811,3.369,0.024,0.005,50,0.029,0.175,0.212,48,38.044,1598.766,37.16,0.216
22,37,2.787,0.235,2.401,3.173,0.035,0.019,50,0.055,0.359,0.559,36,21.906,381.039,20.715,0.413
23,48,3.078,0.208,2.735,3.42,0.028,0.015,50,0.043,0.346,0.528,47,29.531,410.462,27.549,0.388
24,40,3.11,0.189,2.799,3.422,0.025,0.011,50,0.036,0.303,0.435,39,25.887,533.596,24.689,0.353
25,33,3.195,0.202,2.863,3.527,0.025,0.015,50,0.041,0.381,0.616,32,18.671,337.229,17.691,0.441
26,39,3.25,0.188,2.94,3.559,0.027,0.008,50,0.035,0.241,0.318,38,27.426,841.9,26.561,0.293
27,40,3.434,0.14,3.202,3.665,0.013,0.006,50,0.02,0.323,0.476,39,25.158,470.669,23.882,0.373
28,32,3.05,0.178,2.757,3.343,0.024,0.008,50,0.032,0.244,0.323,31,22.06,823.734,21.485,0.306
29,36,3.069,0.192,2.753,3.385,0.03,0.007,50,0.037,0.183,0.224,35,27.09,1463.083,26.597,0.238
30,35,3.208,0.238,2.816,3.6,0.03,0.026,50,0.057,0.47,0.888,34,17.037,221.545,15.82,0.527
31,29,3.169,0.196,2.847,3.491,0.022,0.016,50,0.038,0.418,0.719,28,15.241,280.252,14.455,0.485
32,39,3.221,0.186,2.914,3.527,0.023,0.012,50,0.035,0.34,0.515,38,23.854,423.681,22.582,0.392
33,42,3.271,0.186,2.965,3.577,0.03,0.005,50,0.035,0.139,0.162,41,33.686,2526.363,33.243,0.187
34,41,3.142,0.217,2.785,3.5,0.032,0.015,50,0.047,0.321,0.473,40,25.891,475.106,24.553,0.37
35,41,2.817,0.258,2.392,3.241,0.036,0.03,50,0.067,0.462,0.86,40,20.509,229.298,18.825,0.512
36,33,3.237,0.37,2.629,3.845,0.038,0.097,50,0.137,0.724,2.627,32,8.317,93.396,7.637,0.776
37,32,3.213,0.209,2.869,3.557,0.028,0.015,50,0.044,0.35,0.538,31,18.976,400.884,18.118,0.411
38,37,3.416,0.16,3.152,3.68,0.023,0.003,50,0.026,0.116,0.131,36,30.204,3662.999,29.957,0.169
39,31,2.976,0.201,2.646,3.306,0.037,0.004,50,0.04,0.09,0.099,30,25.644,6041.326,25.535,0.154
40,31,2.826,0.262,2.395,3.258,0.051,0.017,50,0.069,0.254,0.341,30,21.013,757.194,20.445,0.318
41,35,2.98,0.193,2.663,3.297,0.03,0.007,50,0.037,0.195,0.242,34,25.895,1290.404,25.385,0.252
42,39,3.004,0.214,2.653,3.355,0.026,0.02,50,0.046,0.438,0.778,38,20.326,255.781,18.829,0.489
43,38,3.007,0.18,2.711,3.304,0.027,0.006,50,0.032,0.182,0.223,37,28.749,1477.738,28.201,0.235
44,41,3.147,0.163,2.879,3.416,0.022,0.004,50,0.027,0.167,0.2,40,31.789,1767.372,31.227,0.215
45,45,3.091,0.164,2.821,3.36,0.022,0.005,50,0.027,0.174,0.211,44,34.786,1613.596,34.052,0.219
46,29,2.897,0.269,2.454,3.34,0.056,0.016,50,0.073,0.222,0.285,28,20.39,998.245,19.982,0.289
47,38,2.808,0.226,2.437,3.18,0.042,0.009,50,0.051,0.178,0.216,37,28.899,1549.231,28.37,0.23
48,37,3.045,0.224,2.676,3.413,0.034,0.015,50,0.05,0.313,0.456,36,23.461,499.863,22.409,0.367
49,30,3.006,0.262,2.575,3.437,0.049,0.019,50,0.069,0.284,0.397,29,19.457,606.133,18.852,0.35
50,38,3.18,0.166,2.906,3.454,0.021,0.006,50,0.028,0.231,0.301,37,27.013,914.46,26.238,0.284
51,45,3.052,0.175,2.765,3.339,0.019,0.012,50,0.03,0.386,0.629,44,25.863,328.749,23.977,0.432
52,38,3.202,0.214,2.85,3.553,0.035,0.011,50,0.046,0.241,0.318,37,26.668,841.569,25.849,0.294
53,37,2.882,0.192,2.566,3.198,0.028,0.008,50,0.037,0.233,0.304,36,26.188,900.748,25.448,0.287
54,32,3.368,0.209,3.024,3.711,0.028,0.015,50,0.044,0.355,0.549,31,18.832,389.788,17.964,0.416
