"cigarette_counts.decision_point","cigarette_counts.n_converged","cigarette_counts.prop_converged","motivation_cig.decision_point","motivation_cig.n_converged","motivation_cig.prop_converged","self_efficacy_cig.decision_point","self_efficacy_cig.n_converged","self_efficacy_cig.prop_converged"
2,0,0,2,0,0,2,0,0
3,13,0.433333333333333,3,0,0,3,0,0
4,30,1,4,30,1,4,30,1
5,30,1,5,30,1,5,30,1
6,0,0,6,0,0,6,0,0
7,0,0,7,0,0,7,0,0
8,30,1,8,30,1,8,30,1
9,30,1,9,30,1,9,30,1
10,30,1,10,30,1,10,30,1
11,30,1,11,30,1,11,30,1
12,0,0,12,0,0,12,0,0
13,0,0,13,0,0,13,0,0
14,30,1,14,30,1,14,30,1
15,30,1,15,30,1,15,30,1
16,0,0,16,0,0,16,0,0
17,30,1,17,30,1,17,30,1
18,0,0,18,0,0,18,0,0
19,0,0,19,0,0,19,0,0
20,30,1,20,30,1,20,30,1
21,30,1,21,30,1,21,30,1
22,30,1,22,30,1,22,30,1
23,0,0,23,0,0,23,0,0
24,0,0,24,0,0,24,0,0
25,0,0,25,0,0,25,0,0
26,30,1,26,0,0,26,0,0
27,30,1,27,30,1,27,30,1
28,30,1,28,30,1,28,30,1
29,0,0,29,0,0,29,0,0
30,0,0,30,0,0,30,0,0
31,30,1,31,30,1,31,30,1
32,30,1,32,0,0,32,0,0
33,0,0,33,0,0,33,0,0
34,30,1,34,30,1,34,30,1
35,0,0,35,0,0,35,0,0
36,0,0,36,0,0,36,0,0
37,21,0.7,37,0,0,37,0,0
38,30,1,38,30,1,38,30,1
39,30,1,39,30,1,39,30,1
40,30,1,40,30,1,40,30,1
41,22,0.733333333333333,41,0,0,41,0,0
42,0,0,42,0,0,42,0,0
43,0,0,43,0,0,43,0,0
44,0,0,44,0,0,44,0,0
45,30,1,45,30,1,45,0,0
46,30,1,46,30,1,46,30,1
47,30,1,47,30,1,47,30,1
48,0,0,48,0,0,48,0,0
49,0,0,49,0,0,49,0,0
50,0,0,50,0,0,50,0,0
51,0,0,51,0,0,51,0,0
52,0,0,52,30,1,52,30,1
53,0,0,53,0,0,53,0,0
54,0,0,54,0,0,54,0,0
