"cigarette_counts.decision_point","cigarette_counts.n_converged","cigarette_counts.prop_converged","motivation_cig.decision_point","motivation_cig.n_converged","motivation_cig.prop_converged","self_efficacy_cig.decision_point","self_efficacy_cig.n_converged","self_efficacy_cig.prop_converged"
2,30,1,2,30,1,2,30,1
3,30,1,3,30,1,3,30,1
4,30,1,4,30,1,4,30,1
5,30,1,5,30,1,5,30,1
6,30,1,6,30,1,6,30,1
7,30,1,7,30,1,7,30,1
8,30,1,8,30,1,8,30,1
9,30,1,9,30,1,9,30,1
10,30,1,10,30,1,10,30,1
11,30,1,11,30,1,11,30,1
12,30,1,12,30,1,12,30,1
13,30,1,13,30,1,13,30,1
14,30,1,14,30,1,14,30,1
15,30,1,15,30,1,15,30,1
16,30,1,16,30,1,16,30,1
17,30,1,17,30,1,17,30,1
18,30,1,18,30,1,18,30,1
19,30,1,19,30,1,19,30,1
20,30,1,20,30,1,20,30,1
21,30,1,21,30,1,21,30,1
22,30,1,22,30,1,22,30,1
23,30,1,23,30,1,23,30,1
24,30,1,24,30,1,24,30,1
25,30,1,25,30,1,25,30,1
26,30,1,26,30,1,26,30,1
27,30,1,27,30,1,27,30,1
28,30,1,28,30,1,28,30,1
29,30,1,29,30,1,29,30,1
30,30,1,30,30,1,30,30,1
31,30,1,31,30,1,31,30,1
32,30,1,32,30,1,32,30,1
33,30,1,33,30,1,33,30,1
34,30,1,34,30,1,34,30,1
35,30,1,35,30,1,35,30,1
36,30,1,36,30,1,36,30,1
37,30,1,37,30,1,37,30,1
38,30,1,38,30,1,38,30,1
39,30,1,39,30,1,39,30,1
40,30,1,40,30,1,40,30,1
41,30,1,41,30,1,41,30,1
42,30,1,42,30,1,42,30,1
43,30,1,43,30,1,43,30,1
44,30,1,44,30,1,44,30,1
45,30,1,45,30,1,45,30,1
46,30,1,46,30,1,46,30,1
47,30,1,47,30,1,47,30,1
48,30,1,48,30,1,48,30,1
49,30,1,49,30,1,49,30,1
50,30,1,50,30,1,50,30,1
51,30,1,51,30,1,51,30,1
52,30,1,52,30,1,52,30,1
53,30,1,53,30,1,53,30,1
54,30,1,54,30,1,54,30,1
