"","pbcom_est","pbcom_stderr"
"X.Intercept.","0.38000","0.59000"
"cigarette_counts_lag1","0.68000","0.45000"
"X.Intercept..1","0.38000","0.59000"
"X.Intercept....cigarette_counts_lag1","0.56000","0.43000"
"X.Intercept....2.cigarette_counts_lag1","0.67000","0.41000"
"X.Intercept....3.cigarette_counts_lag1","0.65000","0.38000"
"X.Intercept....4.cigarette_counts_lag1","0.68000","0.40000"
"X.Intercept....5.cigarette_counts_lag1","0.66000","0.41000"
"X.Intercept....6.cigarette_counts_lag1","0.66000","0.42000"
"X.Intercept....7.cigarette_counts_lag1","0.65000","0.43000"
"X.Intercept....8.cigarette_counts_lag1","0.65000","0.43000"
"X.Intercept....9.cigarette_counts_lag1","0.65000","0.44000"
"X.Intercept....10.cigarette_counts_lag1","0.65000","0.44000"
"X.Intercept....11.cigarette_counts_lag1","0.66000","0.44000"
