"","pbcom_est","pbcom_stderr"
"(Intercept)","0.44000","0.50000"
"days_between_v1_and_coinflip_local","0.60000","0.55000"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.39000","0.60000"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.59000","0.62000"
"(Intercept) + days_between_v1_and_coinflip_local + I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.48000","0.57000"
"(Intercept) + 2*days_between_v1_and_coinflip_local + 4*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 8*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.56000","0.71000"
"(Intercept) + 3*days_between_v1_and_coinflip_local + 9*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 27*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.62000","0.58000"
"(Intercept) + 4*days_between_v1_and_coinflip_local + 16*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 64*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.66000","0.37000"
"(Intercept) + 5*days_between_v1_and_coinflip_local + 25*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 125*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.56000","0.37000"
"(Intercept) + 6*days_between_v1_and_coinflip_local + 36*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 216*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.43000","0.74000"
"(Intercept) + 7*days_between_v1_and_coinflip_local + 49*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 343*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.42000","0.79000"
"(Intercept) + 8*days_between_v1_and_coinflip_local + 64*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local) + 512*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.39000","0.49000"
