"","pbcom_est","pbcom_stderr"
"(Intercept)","0.60000","0.72667"
"days_between_v1_and_coinflip_local","0.32000","0.50000"
"(Intercept) + days_between_v1_and_coinflip_local","0.58000","0.74667"
"(Intercept) + 2*days_between_v1_and_coinflip_local","0.58000","0.78000"
"(Intercept) + 3*days_between_v1_and_coinflip_local","0.54667","0.80667"
"(Intercept) + 4*days_between_v1_and_coinflip_local","0.52667","0.76000"
"(Intercept) + 5*days_between_v1_and_coinflip_local","0.48667","0.59333"
"(Intercept) + 6*days_between_v1_and_coinflip_local","0.44000","0.41333"
"(Intercept) + 7*days_between_v1_and_coinflip_local","0.42667","0.34000"
"(Intercept) + 8*days_between_v1_and_coinflip_local","0.43333","0.30000"
