"","pbcom_est","pbcom_stderr"
"(Intercept)","0.51000","0.59000"
"days_between_v1_and_coinflip_local","0.54000","0.51000"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.42000","0.43000"
"(Intercept) + days_between_v1_and_coinflip_local + I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.50000","0.65000"
"(Intercept) + 2*days_between_v1_and_coinflip_local + 4*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.55000","0.71000"
"(Intercept) + 3*days_between_v1_and_coinflip_local + 9*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.57000","0.64000"
"(Intercept) + 4*days_between_v1_and_coinflip_local + 16*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.62000","0.48000"
"(Intercept) + 5*days_between_v1_and_coinflip_local + 25*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.58000","0.38000"
"(Intercept) + 6*days_between_v1_and_coinflip_local + 36*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.56000","0.41000"
"(Intercept) + 7*days_between_v1_and_coinflip_local + 49*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.44000","0.42000"
"(Intercept) + 8*days_between_v1_and_coinflip_local + 64*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.36000","0.41000"
