"","pbcom_est","pbcom_stderr"
"is_high_effort","0.840","0.480"
"is_low_effort","0.500","0.580"
"I(is_high_effort * self_efficacy_cig_lag1)","0.280","0.620"
"I(is_low_effort * self_efficacy_cig_lag1)","0.480","0.600"
"High Effort Prompt vs Low Effort Prompt","0.820","0.740"
"High Effort Prompt vs Low Effort Prompt x Moderator","0.220","0.820"
"High vs Low: self-efficacy = 0","0.820","0.740"
"High vs Low: self-efficacy = 1","0.820","0.720"
"High vs Low: self-efficacy = 2","0.800","0.560"
"High vs Low: self-efficacy = 3","0.660","0.600"
"High vs Low: self-efficacy = 4","0.440","0.840"
"Low vs None: self-efficacy = 0","0.500","0.580"
"Low vs None: self-efficacy = 1","0.460","0.540"
"Low vs None: self-efficacy = 2","0.520","0.420"
"Low vs None: self-efficacy = 3","0.520","0.460"
"Low vs None: self-efficacy = 4","0.660","0.660"
"High vs None: self-efficacy = 0","0.840","0.480"
"High vs None: self-efficacy = 1","0.840","0.480"
"High vs None: self-efficacy = 2","0.860","0.500"
"High vs None: self-efficacy = 3","0.660","0.760"
"High vs None: self-efficacy = 4","0.380","0.900"
