"","pbcom_est","pbcom_stderr"
"is_high_effort","0.340","0.760"
"is_low_effort","0.540","0.860"
"I(is_high_effort * days_between_v1_and_coinflip_local)","0.740","0.600"
"I(is_low_effort * days_between_v1_and_coinflip_local)","0.460","0.580"
"I(is_high_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.280","0.480"
"I(is_low_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.480","0.540"
"High Effort Prompt vs Low Effort Prompt","0.340","0.780"
"High Effort Prompt vs Low Effort Prompt x Day","0.780","0.640"
"High Effort Prompt vs Low Effort Prompt x Day Squared","0.220","0.580"
"High Effort Prompt vs. Low Effort Prompt: Day 1","0.400","0.800"
"High Effort Prompt vs. Low Effort Prompt: Day 2","0.480","0.820"
"High Effort Prompt vs. Low Effort Prompt: Day 3","0.700","0.660"
"High Effort Prompt vs. Low Effort Prompt: Day 4","0.760","0.460"
"High Effort Prompt vs. Low Effort Prompt: Day 5","0.700","0.460"
"High Effort Prompt vs. Low Effort Prompt: Day 6","0.700","0.440"
"High Effort Prompt vs. Low Effort Prompt: Day 7","0.600","0.260"
"High Effort Prompt vs. Low Effort Prompt: Day 8","0.400","0.220"
"Low Effort Prompt vs. No Prompt: Day 1","0.520","0.860"
"Low Effort Prompt vs. No Prompt: Day 2","0.540","0.880"
"Low Effort Prompt vs. No Prompt: Day 3","0.460","0.720"
"Low Effort Prompt vs. No Prompt: Day 4","0.520","0.440"
"Low Effort Prompt vs. No Prompt: Day 5","0.540","0.300"
"Low Effort Prompt vs. No Prompt: Day 6","0.480","0.380"
"Low Effort Prompt vs. No Prompt: Day 7","0.560","0.440"
"Low Effort Prompt vs. No Prompt: Day 8","0.520","0.540"
"High Effort Prompt vs. No Prompt: Day 1","0.420","0.820"
"High Effort Prompt vs. No Prompt: Day 2","0.520","0.820"
"High Effort Prompt vs. No Prompt: Day 3","0.720","0.680"
"High Effort Prompt vs. No Prompt: Day 4","0.820","0.660"
"High Effort Prompt vs. No Prompt: Day 5","0.780","0.640"
"High Effort Prompt vs. No Prompt: Day 6","0.760","0.560"
"High Effort Prompt vs. No Prompt: Day 7","0.600","0.360"
"High Effort Prompt vs. No Prompt: Day 8","0.500","0.080"
