"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.00561","0.00278","150.00000","0.00840","0.33273","0.49865","89.00000","58.09587","1345.85495","55.69185","0.35547"
"days_between_v1_and_coinflip_local","0.00019","0.00010","150.00000","0.00029","0.34324","0.52263","89.00000","57.18079","1264.69502","54.70730","0.36600"
"(Intercept) + days_between_v1_and_coinflip_local","0.00393","0.00193","150.00000","0.00587","0.33091","0.49457","89.00000","58.25435","1360.70205","55.86276","0.35365"
"(Intercept) + 2*days_between_v1_and_coinflip_local","0.00263","0.00128","150.00000","0.00392","0.32882","0.48991","89.00000","58.43674","1378.09529","56.05959","0.35155"
"(Intercept) + 3*days_between_v1_and_coinflip_local","0.00171","0.00082","150.00000","0.00254","0.32724","0.48641","89.00000","58.57436","1391.43999","56.20820","0.34996"
"(Intercept) + 4*days_between_v1_and_coinflip_local","0.00116","0.00057","150.00000","0.00173","0.32897","0.49025","89.00000","58.42311","1376.78358","56.04487","0.35170"
"(Intercept) + 5*days_between_v1_and_coinflip_local","0.00099","0.00050","150.00000","0.00150","0.33737","0.50914","89.00000","57.69183","1309.08458","55.25665","0.36012"
"(Intercept) + 6*days_between_v1_and_coinflip_local","0.00120","0.00064","150.00000","0.00185","0.34708","0.53159","89.00000","56.84641","1236.86162","54.34854","0.36985"
"(Intercept) + 7*days_between_v1_and_coinflip_local","0.00179","0.00097","150.00000","0.00276","0.35156","0.54216","89.00000","56.45683","1205.57657","53.93125","0.37434"
"(Intercept) + 8*days_between_v1_and_coinflip_local","0.00276","0.00149","150.00000","0.00426","0.35237","0.54410","89.00000","56.38572","1199.99397","53.85515","0.37516"
