"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.02259","0.01003","150.00000","0.03269","0.30890","0.44697","88.00000","59.48016","1561.52934","57.29764","0.33182"
"days_between_v1_and_coinflip_local","0.00470","0.00207","150.00000","0.00678","0.30691","0.44282","88.00000","59.65130","1581.82989","57.48358","0.32983"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00005","0.00002","150.00000","0.00007","0.29699","0.42245","88.00000","60.50557","1689.33059","58.41341","0.31988"
"(Intercept) + days_between_v1_and_coinflip_local + I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00883","0.00397","150.00000","0.01282","0.31137","0.45216","88.00000","59.26761","1536.85778","57.06688","0.33430"
"(Intercept) + 2*days_between_v1_and_coinflip_local + 4*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00317","0.00146","150.00000","0.00465","0.31710","0.46434","88.00000","58.77468","1481.84147","56.53242","0.34004"
"(Intercept) + 3*days_between_v1_and_coinflip_local + 9*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00182","0.00088","150.00000","0.00271","0.32798","0.48806","88.00000","57.83761","1385.09170","55.51927","0.35095"
"(Intercept) + 4*days_between_v1_and_coinflip_local + 16*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00207","0.00104","150.00000","0.00311","0.33660","0.50739","88.00000","57.09615","1315.09891","54.72042","0.35959"
"(Intercept) + 5*days_between_v1_and_coinflip_local + 25*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00231","0.00122","150.00000","0.00353","0.34767","0.53296","88.00000","56.14368","1232.70813","53.69801","0.37068"
"(Intercept) + 6*days_between_v1_and_coinflip_local + 36*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00203","0.00116","150.00000","0.00320","0.36531","0.57558","88.00000","54.62476","1116.48116","52.07686","0.38836"
"(Intercept) + 7*days_between_v1_and_coinflip_local + 49*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00183","0.00106","150.00000","0.00290","0.36907","0.58495","88.00000","54.30190","1093.89965","51.73380","0.39212"
"(Intercept) + 8*days_between_v1_and_coinflip_local + 64*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00340","0.00159","150.00000","0.00500","0.32069","0.47208","88.00000","58.46557","1448.83649","56.19780","0.34364"
