"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.01051","0.00307","50.00000","0.01364","0.22967","0.29814","75.00000","56.29346"," 928.95203","53.07705","0.25714"
"days_between_v1_and_coinflip_local","0.00005","0.00001","50.00000","0.00006","0.16792","0.20181","75.00000","60.80576","1737.74022","58.75002","0.19487"
"self_efficacy_cig_lag1","0.00084","0.00030","50.00000","0.00115","0.26932","0.36859","75.00000","53.39578"," 675.54792","49.48450","0.29716"
"is_high_effort","0.01702","0.00981","50.00000","0.02703","0.37026","0.58796","75.00000","46.01945"," 357.42279","40.77015","0.39903"
"is_low_effort","0.01686","0.00997","50.00000","0.02703","0.37608","0.60277","75.00000","45.59415"," 346.44599","40.29157","0.40490"
"I(is_high_effort * self_efficacy_cig_lag1)","0.00145","0.00098","50.00000","0.00245","0.40730","0.68719","75.00000","43.31292"," 295.37519","37.77388","0.43637"
"I(is_low_effort * self_efficacy_cig_lag1)","0.00151","0.00100","50.00000","0.00253","0.40427","0.67861","75.00000","43.53416"," 299.81561","38.01435","0.43332"
"High Effort Prompt vs Low Effort Prompt","0.01975","0.01106","50.00000","0.03104","0.36355","0.57122","75.00000","46.50958"," 370.73213","41.32519","0.39227"
"High Effort Prompt vs Low Effort Prompt x Moderator","0.00167","0.00118","50.00000","0.00288","0.41890","0.72088","75.00000","42.46474"," 279.23387","36.85933","0.44806"
"High vs Low: self-efficacy = 0","0.01975","0.01106","50.00000","0.03104","0.36355","0.57122","75.00000","46.50958"," 370.73213","41.32519","0.39227"
"High vs Low: self-efficacy = 1","0.01058","0.00532","50.00000","0.01601","0.33908","0.51305","75.00000","48.29764"," 426.16647","43.38123","0.36758"
"High vs Low: self-efficacy = 2","0.00476","0.00195","50.00000","0.00674","0.29461","0.41765","75.00000","51.54800"," 564.56264","47.23515","0.32269"
"High vs Low: self-efficacy = 3","0.00228","0.00094","50.00000","0.00323","0.29563","0.41972","75.00000","51.47289"," 560.64362","47.14453","0.32373"
"High vs Low: self-efficacy = 4","0.00314","0.00229","50.00000","0.00548","0.42648","0.74361","75.00000","41.91123"," 269.40340","36.26887","0.45569"
"Low vs None: self-efficacy = 0","0.01686","0.00997","50.00000","0.02703","0.37608","0.60277","75.00000","45.59415"," 346.44599","40.29157","0.40490"
"Low vs None: self-efficacy = 1","0.00876","0.00488","50.00000","0.01373","0.36235","0.56826","75.00000","46.59760"," 373.20089","41.42527","0.39106"
"Low vs None: self-efficacy = 2","0.00367","0.00180","50.00000","0.00550","0.33350","0.50038","75.00000","48.70560"," 440.55312","43.85697","0.36195"
"Low vs None: self-efficacy = 3","0.00160","0.00073","50.00000","0.00234","0.31741","0.46500","75.00000","49.88183"," 486.36713","45.24182","0.34571"
"Low vs None: self-efficacy = 4","0.00254","0.00166","50.00000","0.00424","0.40023","0.66731","75.00000","43.82914"," 305.89381","38.33624","0.42925"
"High vs None: self-efficacy = 0","0.01702","0.00981","50.00000","0.02703","0.37026","0.58796","75.00000","46.01945"," 357.42279","40.77015","0.39903"
"High vs None: self-efficacy = 1","0.00897","0.00489","50.00000","0.01395","0.35727","0.55587","75.00000","46.96840"," 383.87686","41.84816","0.38594"
"High vs None: self-efficacy = 2","0.00381","0.00192","50.00000","0.00577","0.33888","0.51259","75.00000","48.31247"," 426.67691","43.39848","0.36738"
"High vs None: self-efficacy = 3","0.00156","0.00090","50.00000","0.00248","0.37046","0.58846","75.00000","46.00480"," 357.03597","40.75362","0.39924"
"High vs None: self-efficacy = 4","0.00221","0.00184","50.00000","0.00409","0.45908","0.84872","75.00000","39.52841"," 232.49305","33.78439","0.48849"
