"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.01065","0.00469","50.00000","0.01544","0.30994","0.44915","89.00000","60.08032","510.08667","53.74947","0.33426"
"days_between_v1_and_coinflip_local","0.00005","0.00003","50.00000","0.00008","0.35315","0.54596","89.00000","56.31799","392.89221","49.25734","0.37791"
"self_efficacy_cig_lag1","0.00078","0.00031","50.00000","0.00110","0.29192","0.41227","89.00000","61.64906","574.99699","55.67933","0.31605"
"any_response_2qs","0.00320","0.00128","50.00000","0.00450","0.29003","0.40850","89.00000","61.81410","582.53799","55.88414","0.31414"
"is_high_effort","0.00467","0.00444","50.00000","0.00920","0.49210","0.96891","89.00000","44.22006","202.34014","36.28929","0.51796"
"is_low_effort","0.00532","0.00339","50.00000","0.00878","0.39406","0.65033","89.00000","52.75612","315.54904","45.19932","0.41921"
"I(is_high_effort * any_response_2qs)","0.00682","0.00591","50.00000","0.01285","0.46887","0.88279","89.00000","46.24270","222.88755","38.29715","0.49460"
"I(is_low_effort * any_response_2qs)","0.00733","0.00421","50.00000","0.01162","0.36965","0.58641","89.00000","54.88179","358.60869","47.59743","0.39456"
"High Effort Prompt vs Low Effort Prompt","0.00658","0.00533","50.00000","0.01202","0.45233","0.82593","89.00000","47.68275","239.48575","39.76529","0.47795"
"High Effort Prompt vs Low Effort Prompt x Any Response to Two-Question Survey","0.01017","0.00692","50.00000","0.01723","0.40965","0.69392","89.00000","51.39857","291.98516","43.70510","0.43493"
