"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.02220","0.01698","50.00000","0.03952","0.43818","0.77994","67.00000","36.56629","255.20306","31.98358","0.47030"
"days_between_v1_and_coinflip_local","0.00005","0.00003","50.00000","0.00008","0.36267","0.56904","67.00000","41.48119","372.54345","37.32518","0.39428"
"self_efficacy_cig_lag1","0.00169","0.00160","50.00000","0.00332","0.49008","0.96111","67.00000","33.18827","204.01196","28.54468","0.52241"
"any_response_2qs","0.03151","0.01886","50.00000","0.05075","0.37913","0.61064","67.00000","40.40996","340.89972","36.12745","0.41086"
"I(self_efficacy_cig_lag1 * any_response_2qs)","0.00276","0.00188","50.00000","0.00467","0.40998","0.69487","67.00000","38.40166","291.51695","33.93181","0.44193"
"is_high_effort","0.04260","0.02571","50.00000","0.06883","0.38106","0.61566","67.00000","40.28423","337.45215","35.98806","0.41281"
"is_low_effort","0.04518","0.04122","50.00000","0.08722","0.48202","0.93056","67.00000","33.71335","210.89828","29.06684","0.51432"
"I(is_high_effort * self_efficacy_cig_lag1)","0.00405","0.00269","50.00000","0.00679","0.40377","0.67721","67.00000","38.80597","300.55575","34.36851","0.43568"
"I(is_low_effort * self_efficacy_cig_lag1)","0.00419","0.00381","50.00000","0.00807","0.48145","0.92845","67.00000","33.75036","211.39666","29.10381","0.51375"
"I(is_high_effort * any_response_2qs)","0.06715","0.03574","50.00000","0.10360","0.35185","0.54286","67.00000","42.18514","395.79885","38.12201","0.38338"
"I(is_low_effort * any_response_2qs)","0.06437","0.06024","50.00000","0.12582","0.48839","0.95461","67.00000","33.29862","205.43087","28.65404","0.52071"
"I(is_high_effort * self_efficacy_cig_lag1 * any_response_2qs)","0.00634","0.00363","50.00000","0.01004","0.36876","0.58419","67.00000","41.08462","360.33407","36.87967","0.40042"
"I(is_low_effort * self_efficacy_cig_lag1 * any_response_2qs)","0.00626","0.00564","50.00000","0.01201","0.47869","0.91826","67.00000","33.92964","213.83652","29.28324","0.51099"
"High Effort Prompt vs Low Effort Prompt","0.05246","0.05349","50.00000","0.10702","0.50980","1.04000","67.00000","31.90471","188.53346","27.28704","0.54217"
"High Effort Prompt vs Low Effort Prompt x Prior Self-Efficacy","0.00495","0.00516","50.00000","0.01021","0.51502","1.06192","67.00000","31.56555","184.73754","26.95913","0.54739"
"High Effort Prompt vs Low Effort Prompt x Any Response to Two-Question Survey","0.08654","0.07850","50.00000","0.16661","0.48058","0.92523","67.00000","33.80665","212.15830","29.16010","0.51288"
"High Effort Prompt vs Low Effort Prompt x Prior Self-Efficacy x Any Response to Two-Question Survey","0.00797","0.00730","50.00000","0.01541","0.48294","0.93400","67.00000","33.65337","210.09415","29.00697","0.51525"
"High Effort Prompt vs. No Prompt: When Prior Self-Efficacy=0, Moderated Effect of Two-Question Survey","0.06715","0.03574","50.00000","0.10360","0.35185","0.54286","67.00000","42.18514","395.79885","38.12201","0.38338"
"High Effort Prompt vs. No Prompt: When Prior Self-Efficacy=1, Moderated Effect of Two-Question Survey","0.03424","0.01853","50.00000","0.05314","0.35560","0.55183","67.00000","41.94137","387.50522","37.84522","0.38715"
"High Effort Prompt vs. No Prompt: When Prior Self-Efficacy=2, Moderated Effect of Two-Question Survey","0.01402","0.00858","50.00000","0.02277","0.38426","0.62406","67.00000","40.07604","331.85733","35.75782","0.41603"
"High Effort Prompt vs. No Prompt: When Prior Self-Efficacy=3, Moderated Effect of Two-Question Survey","0.00648","0.00589","50.00000","0.01248","0.48131","0.92793","67.00000","33.75945","211.51941","29.11290","0.51361"
"High Effort Prompt vs. No Prompt: When Prior Self-Efficacy=4, Moderated Effect of Two-Question Survey","0.01161","0.01047","50.00000","0.02229","0.47899","0.91936","67.00000","33.91005","213.56785","29.26361","0.51129"
"Low Effort Prompt vs. No Prompt: When Prior Self-Efficacy=0, Moderated Effect of Two-Question Survey","0.06437","0.06024","50.00000","0.12582","0.48839","0.95461","67.00000","33.29862","205.43087","28.65404","0.52071"
"Low Effort Prompt vs. No Prompt: When Prior Self-Efficacy=1, Moderated Effect of Two-Question Survey","0.03283","0.03018","50.00000","0.06361","0.48390","0.93761","67.00000","33.59076","209.25968","28.94453","0.51621"
"Low Effort Prompt vs. No Prompt: When Prior Self-Efficacy=2, Moderated Effect of Two-Question Survey","0.01381","0.01138","50.00000","0.02542","0.45676","0.84081","67.00000","35.35708","234.86460","30.73079","0.48897"
"Low Effort Prompt vs. No Prompt: When Prior Self-Efficacy=3, Moderated Effect of Two-Question Survey","0.00731","0.00386","50.00000","0.01124","0.35003","0.53854","67.00000","42.30353","399.92320","38.25676","0.38154"
"Low Effort Prompt vs. No Prompt: When Prior Self-Efficacy=4, Moderated Effect of Two-Question Survey","0.01332","0.00760","50.00000","0.02108","0.36792","0.58208","67.00000","41.13928","361.98106","36.94093","0.39957"
"High Effort Prompt vs. Low Effort Prompt: When Prior Self-Efficacy=0, Moderated Effect of Two-Question Survey","0.08654","0.07850","50.00000","0.16661","0.48058","0.92523","67.00000","33.80665","212.15830","29.16010","0.51288"
"High Effort Prompt vs. Low Effort Prompt: When Prior Self-Efficacy=1, Moderated Effect of Two-Question Survey","0.04507","0.03992","50.00000","0.08579","0.47461","0.90336","67.00000","34.19515","217.52832","29.54994","0.50690"
"High Effort Prompt vs. Low Effort Prompt: When Prior Self-Efficacy=2, Moderated Effect of Two-Question Survey","0.01955","0.01593","50.00000","0.03580","0.45400","0.83150","67.00000","35.53683","237.73073","30.91548","0.48620"
"High Effort Prompt vs. Low Effort Prompt: When Prior Self-Efficacy=3, Moderated Effect of Two-Question Survey","0.00996","0.00654","50.00000","0.01663","0.40129","0.67027","67.00000","38.96721","304.27831","34.54343","0.43319"
"High Effort Prompt vs. Low Effort Prompt: When Prior Self-Efficacy=4, Moderated Effect of Two-Question Survey","0.01631","0.01175","50.00000","0.02829","0.42357","0.73482","67.00000","37.51734","273.11464","32.98609","0.45561"
