"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.01969","0.00678","50.00000","0.02661","0.26008","0.35150","62.00000","44.46353","724.40875","41.89222","0.29304"
"days_between_v1_and_coinflip_local","0.00250","0.00113","50.00000","0.00365","0.31520","0.46027","62.00000","41.15137","493.20906","37.98228","0.34862"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00002","0.00001","50.00000","0.00003","0.31056","0.45046","62.00000","41.42976","508.03305","38.30594","0.34395"
"self_efficacy_cig_lag1","0.00074","0.00026","50.00000","0.00101","0.26630","0.36296","62.00000","44.08964","690.95369","41.44504","0.29932"
"is_high_effort","0.03574","0.01850","50.00000","0.05461","0.34559","0.52808","62.00000","39.32530","410.28532","35.88570","0.37924"
"is_low_effort","0.03482","0.02023","50.00000","0.05545","0.37205","0.59247","62.00000","37.73523","354.00040","34.10026","0.40590"
"I(is_high_effort * days_between_v1_and_coinflip_local)","0.00777","0.00382","50.00000","0.01166","0.33399","0.50148","62.00000","40.02213","439.26999","36.68018","0.36756"
"I(is_low_effort * days_between_v1_and_coinflip_local)","0.00691","0.00398","50.00000","0.01097","0.36990","0.58706","62.00000","37.86394","358.11171","34.24331","0.40374"
"I(is_high_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00008","0.00003","50.00000","0.00011","0.31309","0.45579","62.00000","41.27824","499.88289","38.12965","0.34649"
"I(is_low_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","0.00006","0.00004","50.00000","0.00010","0.37529","0.60075","62.00000","37.54012","347.90179","33.88390","0.40917"
"High Effort Prompt vs Low Effort Prompt","0.05041","0.02087","50.00000","0.07169","0.29691","0.42228","62.00000","42.25058","555.85320","39.26596","0.33018"
"High Effort Prompt vs Low Effort Prompt x Day","0.01033","0.00458","50.00000","0.01500","0.31157","0.45259","62.00000","41.36917","504.75031","38.23541","0.34496"
"High Effort Prompt vs Low Effort Prompt x Day Squared","0.00010","0.00005","50.00000","0.00014","0.32033","0.47131","62.00000","40.84282","477.52437","37.62476","0.35379"
"High Effort Prompt vs. Low Effort Prompt: Day 1","0.01966","0.00784","50.00000","0.02766","0.28923","0.40692","62.00000","42.71184","585.74819","39.80903","0.32244"
"High Effort Prompt vs. Low Effort Prompt: Day 2","0.00690","0.00264","50.00000","0.00960","0.28101","0.39085","62.00000","43.20556","620.49991","40.39298","0.31415"
"High Effort Prompt vs. Low Effort Prompt: Day 3","0.00381","0.00153","50.00000","0.00538","0.29089","0.41022","62.00000","42.61198","579.07471","39.69125","0.32411"
"High Effort Prompt vs. Low Effort Prompt: Day 4","0.00445","0.00186","50.00000","0.00635","0.29962","0.42779","62.00000","42.08774","545.84410","39.07485","0.33291"
"High Effort Prompt vs. Low Effort Prompt: Day 5","0.00518","0.00207","50.00000","0.00729","0.28950","0.40747","62.00000","42.69535","584.63824","39.78957","0.32271"
"High Effort Prompt vs. Low Effort Prompt: Day 6","0.00474","0.00166","50.00000","0.00644","0.26353","0.35783","62.00000","44.25619","705.56413","41.64409","0.29652"
"High Effort Prompt vs. Low Effort Prompt: Day 7","0.00422","0.00125","50.00000","0.00550","0.23249","0.30291","62.00000","46.12151","906.54924","43.88864","0.26523"
"High Effort Prompt vs. Low Effort Prompt: Day 8","0.00703","0.00252","50.00000","0.00961","0.26782","0.36578","62.00000","43.99845","683.14609","41.33617","0.30085"
"Low Effort Prompt vs. No Prompt: Day 1","0.01388","0.00807","50.00000","0.02212","0.37241","0.59339","62.00000","37.71339","353.30983","34.07601","0.40626"
"Low Effort Prompt vs. No Prompt: Day 2","0.00504","0.00287","50.00000","0.00797","0.36711","0.58005","62.00000","38.03191","363.58615","34.43042","0.40093"
"Low Effort Prompt vs. No Prompt: Day 3","0.00278","0.00142","50.00000","0.00423","0.34138","0.51833","62.00000","39.57797","420.45431","36.17296","0.37501"
"Low Effort Prompt vs. No Prompt: Day 4","0.00311","0.00143","50.00000","0.00457","0.31899","0.46840","62.00000","40.92376","481.56541","37.71842","0.35244"
"Low Effort Prompt vs. No Prompt: Day 5","0.00357","0.00153","50.00000","0.00513","0.30398","0.43675","62.00000","41.82529","530.27182","38.76750","0.33731"
"Low Effort Prompt vs. No Prompt: Day 6","0.00325","0.00124","50.00000","0.00451","0.28042","0.38971","62.00000","43.24103","623.11461","40.43504","0.31356"
"Low Effort Prompt vs. No Prompt: Day 7","0.00276","0.00099","50.00000","0.00378","0.26862","0.36728","62.00000","43.95039","679.08393","41.27882","0.30165"
"Low Effort Prompt vs. No Prompt: Day 8","0.00428","0.00213","50.00000","0.00645","0.33664","0.50747","62.00000","39.86291","432.38248","36.49803","0.37023"
