"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)"," 0.35019","0.37442","-0.38367"," 1.08404","-0.26568"," 0.96606","0.34965"
"Treatment x Day","-0.44222","0.27805","-0.98718"," 0.10275","-0.89957"," 0.01513","0.11174"
"Treatment x Day Squared"," 0.10754","0.05930","-0.00869"," 0.22376"," 0.01000"," 0.20507","0.06975"
"Treatment x Day Cubed","-0.00720","0.00382","-0.01468"," 0.00029","-0.01348","-0.00091","0.05958"
"Treatment Effect on Day 1"," 0.00831","0.16253","-0.31024"," 0.32687","-0.25903"," 0.27565","0.95920"
"Treatment Effect on Day 2","-0.16166","0.06703","-0.29303","-0.03029","-0.27191","-0.05141","0.01587"
"Treatment Effect on Day 3","-0.20291","0.06725","-0.33472","-0.07110","-0.31352","-0.09229","0.00255"
"Treatment Effect on Day 4","-0.15861","0.06872","-0.29330","-0.02392","-0.27165","-0.04557","0.02100"
"Treatment Effect on Day 5","-0.07194","0.06185","-0.19315"," 0.04928","-0.17366"," 0.02979","0.24476"
"Treatment Effect on Day 6"," 0.01394","0.06303","-0.10960"," 0.13748","-0.08974"," 0.11761","0.82500"
"Treatment Effect on Day 7"," 0.05583","0.06427","-0.07013"," 0.18180","-0.04988"," 0.16155","0.38498"
"Treatment Effect on Day 8"," 0.01058","0.06317","-0.11322"," 0.13438","-0.09332"," 0.11448","0.86698"
