"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)","-0.07129","0.09166","-0.25094","0.10836","-0.22206","0.07947","0.43669"
"Treatment x Day"," 0.00174","0.01695","-0.03148","0.03497","-0.02614","0.02963","0.91818"
"Treatment Effect on Day 1","-0.06955","0.07663","-0.21974","0.08064","-0.19559","0.05649","0.36407"
"Treatment Effect on Day 2","-0.06781","0.06259","-0.19048","0.05486","-0.17075","0.03514","0.27861"
"Treatment Effect on Day 3","-0.06607","0.05037","-0.16479","0.03265","-0.14892","0.01678","0.18963"
"Treatment Effect on Day 4","-0.06433","0.04161","-0.14589","0.01723","-0.13277","0.00412","0.12215"
"Treatment Effect on Day 5","-0.06258","0.03874","-0.13852","0.01335","-0.12631","0.00114","0.10624"
"Treatment Effect on Day 6","-0.06084","0.04296","-0.14504","0.02335","-0.13150","0.00981","0.15667"
"Treatment Effect on Day 7","-0.05910","0.05258","-0.16215","0.04395","-0.14558","0.02738","0.26096"
"Treatment Effect on Day 8","-0.05736","0.06525","-0.18525","0.07053","-0.16469","0.04997","0.37938"
