"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)","-0.24416","0.17942","-0.59582"," 0.10750","-0.53928"," 0.05097","0.17358"
"Treatment x Day"," 0.04490","0.08239","-0.11658"," 0.20638","-0.09062"," 0.18042","0.58576"
"Treatment x Day Squared","-0.00194","0.00800","-0.01761"," 0.01374","-0.01509"," 0.01122","0.80870"
"Treatment Effect on Day 1","-0.20119","0.11168","-0.42008"," 0.01770","-0.38489","-0.01749","0.07162"
"Treatment Effect on Day 2","-0.16210","0.06684","-0.29310","-0.03110","-0.27204","-0.05216","0.01530"
"Treatment Effect on Day 3","-0.12688","0.05209","-0.22898","-0.02478","-0.21256","-0.04120","0.01486"
"Treatment Effect on Day 4","-0.09553","0.05729","-0.20782"," 0.01676","-0.18977","-0.00130","0.09542"
"Treatment Effect on Day 5","-0.06806","0.06149","-0.18857"," 0.05245","-0.16919"," 0.03308","0.26835"
"Treatment Effect on Day 6","-0.04446","0.05788","-0.15790"," 0.06899","-0.13966"," 0.05075","0.44247"
"Treatment Effect on Day 7","-0.02473","0.05166","-0.12599"," 0.07653","-0.10971"," 0.06025","0.63223"
"Treatment Effect on Day 8","-0.00887","0.06285","-0.13205"," 0.11431","-0.11224"," 0.09450","0.88776"
