"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"is_high_effort","-0.027","0.167","-0.355"," 0.301","-0.302"," 0.249","0.874"
"is_low_effort"," 0.159","0.165","-0.165"," 0.483","-0.113"," 0.431","0.336"
"I(is_high_effort * self_efficacy_cig_lag1)","-0.012","0.051","-0.113"," 0.088","-0.097"," 0.072","0.809"
"I(is_low_effort * self_efficacy_cig_lag1)","-0.076","0.050","-0.174"," 0.023","-0.158"," 0.007","0.131"
"High Effort Prompt vs Low Effort Prompt","-0.186","0.165","-0.509"," 0.137","-0.457"," 0.085","0.259"
"High Effort Prompt vs Low Effort Prompt x Moderator"," 0.063","0.051","-0.037"," 0.164","-0.021"," 0.148","0.216"
"High vs Low: self-efficacy = 0","-0.186","0.165","-0.509"," 0.137","-0.457"," 0.085","0.259"
"High vs Low: self-efficacy = 1","-0.122","0.117","-0.352"," 0.107","-0.315"," 0.070","0.296"
"High vs Low: self-efficacy = 2","-0.059","0.075","-0.207"," 0.088","-0.183"," 0.065","0.432"
"High vs Low: self-efficacy = 3"," 0.004","0.053","-0.100"," 0.108","-0.083"," 0.091","0.935"
"High vs Low: self-efficacy = 4"," 0.068","0.072","-0.074"," 0.209","-0.051"," 0.186","0.348"
"Low vs None: self-efficacy = 0"," 0.159","0.165","-0.165"," 0.483","-0.113"," 0.431","0.336"
"Low vs None: self-efficacy = 1"," 0.083","0.118","-0.147"," 0.314","-0.110"," 0.277","0.479"
"Low vs None: self-efficacy = 2"," 0.008","0.074","-0.137"," 0.152","-0.114"," 0.129","0.917"
"Low vs None: self-efficacy = 3","-0.068","0.045","-0.156"," 0.020","-0.142"," 0.006","0.131"
"Low vs None: self-efficacy = 4","-0.144","0.060","-0.262","-0.026","-0.243","-0.045","0.017"
"High vs None: self-efficacy = 0","-0.027","0.167","-0.355"," 0.301","-0.302"," 0.249","0.874"
"High vs None: self-efficacy = 1","-0.039","0.119","-0.272"," 0.194","-0.234"," 0.156","0.743"
"High vs None: self-efficacy = 2","-0.051","0.074","-0.197"," 0.094","-0.173"," 0.071","0.488"
"High vs None: self-efficacy = 3","-0.064","0.046","-0.154"," 0.027","-0.140"," 0.012","0.167"
"High vs None: self-efficacy = 4","-0.076","0.063","-0.200"," 0.048","-0.180"," 0.028","0.230"
