"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"is_high_effort"," 0.2637172697","0.2169121254","-0.1614226839"," 0.6888572234","-0.0930714265"," 0.6205059660","0.2240690102"
"is_low_effort"," 0.1787052399","0.2235134074","-0.2593729886"," 0.6167834684","-0.1889415989"," 0.5463520786","0.4239842857"
"I(is_high_effort * days_between_v1_and_coinflip_local)","-0.1770833928","0.1032132282","-0.3793776028"," 0.0252108172","-0.3468540456","-0.0073127400","0.0862161537"
"I(is_low_effort * days_between_v1_and_coinflip_local)","-0.1137185410","0.1010167950","-0.3117078211"," 0.0842707391","-0.2798763827"," 0.0524393007","0.2602760310"
"I(is_high_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.0184771895","0.0102681517","-0.0016480180"," 0.0386023971"," 0.0015875829"," 0.0353667961","0.0719450033"
"I(is_low_effort * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.0109473327","0.0097717139","-0.0082048746"," 0.0300995401","-0.0051257063"," 0.0270203718","0.2625823830"
"High Effort Prompt vs Low Effort Prompt"," 0.0850120299","0.2554388682","-0.4156389521"," 0.5856630118","-0.3351475190"," 0.5051715787","0.7392794229"
"High Effort Prompt vs Low Effort Prompt x Day","-0.0633648518","0.1199706716","-0.2985030474"," 0.1717733437","-0.2606990461"," 0.1339693425","0.5973816838"
"High Effort Prompt vs Low Effort Prompt x Day Squared"," 0.0075298568","0.0118792624","-0.0157530696"," 0.0308127832","-0.0120097910"," 0.0270695046","0.5261684814"
"High Effort Prompt vs. Low Effort Prompt: Day 1"," 0.0291770348","0.1577820827","-0.2800701647"," 0.3384242344","-0.2303513962"," 0.2887054659","0.8532919226"
"High Effort Prompt vs. Low Effort Prompt: Day 2","-0.0115982466","0.0948698014","-0.1975396407"," 0.1743431474","-0.1676451836"," 0.1444486904","0.9026975782"
"High Effort Prompt vs. Low Effort Prompt: Day 3","-0.0373138145","0.0767260237","-0.1876940576"," 0.1130664286","-0.1635168928"," 0.0888892638","0.6267364701"
"High Effort Prompt vs. Low Effort Prompt: Day 4","-0.0479696688","0.0852313771","-0.2150200982"," 0.1190807606","-0.1881628085"," 0.0922234709","0.5735594962"
"High Effort Prompt vs. Low Effort Prompt: Day 5","-0.0435658095","0.0907137836","-0.2213615583"," 0.1342299392","-0.1927767055"," 0.1056450865","0.6310456015"
"High Effort Prompt vs. Low Effort Prompt: Day 6","-0.0241022367","0.0852273016","-0.1911446782"," 0.1429402049","-0.1642886727"," 0.1160841994","0.7773305521"
"High Effort Prompt vs. Low Effort Prompt: Day 7"," 0.0104210498","0.0789829180","-0.1443826249"," 0.1652247245","-0.1194942894"," 0.1403363890","0.8950313133"
"High Effort Prompt vs. Low Effort Prompt: Day 8"," 0.0600040498","0.1020266008","-0.1399644132"," 0.2599725128","-0.1078147745"," 0.2278228741","0.5564506619"
"Low Effort Prompt vs. No Prompt: Day 1"," 0.0759340316","0.1401721928","-0.1987984179"," 0.3506664812","-0.1546287081"," 0.3064967714","0.5880116490"
"Low Effort Prompt vs. No Prompt: Day 2","-0.0049425111","0.0841950615","-0.1699617994"," 0.1600767772","-0.1434310635"," 0.1335460412","0.9531885900"
"Low Effort Prompt vs. No Prompt: Day 3","-0.0639243884","0.0639782808","-0.1893195146"," 0.0614707378","-0.1691592957"," 0.0413105189","0.3177183302"
"Low Effort Prompt vs. No Prompt: Day 4","-0.1010116002","0.0690393805","-0.2363262994"," 0.0343030991","-0.2145712755"," 0.0125480752","0.1434396906"
"Low Effort Prompt vs. No Prompt: Day 5","-0.1162041464","0.0741962604","-0.2616261446"," 0.0292178517","-0.2382461345"," 0.0058378416","0.1173082269"
"Low Effort Prompt vs. No Prompt: Day 6","-0.1095020272","0.0706927904","-0.2480573503"," 0.0290532959","-0.2257813199"," 0.0067772654","0.1213854779"
"Low Effort Prompt vs. No Prompt: Day 7","-0.0809052425","0.0649889940","-0.2082813301"," 0.0464708451","-0.1878026250"," 0.0259921400","0.2131660000"
"Low Effort Prompt vs. No Prompt: Day 8","-0.0304137923","0.0803432094","-0.1878835891"," 0.1270560045","-0.1625666116"," 0.1017390271","0.7050232559"
"High Effort Prompt vs. No Prompt: Day 1"," 0.1051110665","0.1327586986","-0.1550912014"," 0.3653133343","-0.1132575604"," 0.3234796933","0.4285092431"
"High Effort Prompt vs. No Prompt: Day 2","-0.0165407578","0.0789971889","-0.1713724029"," 0.1382908874","-0.1464795705"," 0.1133980549","0.8341483798"
"High Effort Prompt vs. No Prompt: Day 3","-0.1012382029","0.0649704880","-0.2285780194"," 0.0261016136","-0.2081051457"," 0.0056287399","0.1191815099"
"High Effort Prompt vs. No Prompt: Day 4","-0.1489812690","0.0736232211","-0.2932801308","-0.0046824071","-0.2700806913","-0.0278818466","0.0430150755"
"High Effort Prompt vs. No Prompt: Day 5","-0.1597699560","0.0788816762","-0.3143752004","-0.0051647115","-0.2895187672","-0.0300211447","0.0428223939"
"High Effort Prompt vs. No Prompt: Day 6","-0.1336042639","0.0744415419","-0.2795070050"," 0.0122984773","-0.2560497041","-0.0111588236","0.0726928841"
"High Effort Prompt vs. No Prompt: Day 7","-0.0704841927","0.0694481722","-0.2066001089"," 0.0656317235","-0.1847162706"," 0.0437478851","0.3101449670"
"High Effort Prompt vs. No Prompt: Day 8"," 0.0295902575","0.0896787082","-0.1461767807"," 0.2053572957","-0.1179180909"," 0.1770986059","0.7414312736"
