"decision_point","n_largest","n_largest2","n_intercept_only","prop_largest","prop_largest2","prop_intercept_only"
2,0,0,50,0,0,1
3,11,39,0,0.22,0.78,0
4,1,49,0,0.02,0.98,0
5,0,50,0,0,1,0
6,50,0,0,1,0,0
7,50,0,0,1,0,0
8,0,50,0,0,1,0
9,0,50,0,0,1,0
10,0,50,0,0,1,0
11,4,46,0,0.08,0.92,0
12,9,41,0,0.18,0.82,0
13,3,47,0,0.06,0.94,0
14,0,50,0,0,1,0
15,10,40,0,0.2,0.8,0
16,0,0,50,0,0,1
17,50,0,0,1,0,0
18,50,0,0,1,0,0
19,14,36,0,0.28,0.72,0
20,6,44,0,0.12,0.88,0
21,0,50,0,0,1,0
22,15,35,0,0.3,0.7,0
23,50,0,0,1,0,0
24,28,22,0,0.56,0.44,0
25,11,39,0,0.22,0.78,0
26,21,29,0,0.42,0.58,0
27,1,49,0,0.02,0.98,0
28,50,0,0,1,0,0
29,0,50,0,0,1,0
30,50,0,0,1,0,0
31,0,50,0,0,1,0
32,50,0,0,1,0,0
33,0,50,0,0,1,0
34,0,50,0,0,1,0
35,50,0,0,1,0,0
36,7,43,0,0.14,0.86,0
37,2,48,0,0.04,0.96,0
38,0,50,0,0,1,0
39,27,23,0,0.54,0.46,0
40,0,50,0,0,1,0
41,12,38,0,0.24,0.76,0
42,0,0,50,0,0,1
43,35,0,15,0.7,0,0.3
44,0,50,0,0,1,0
45,18,32,0,0.36,0.64,0
46,30,20,0,0.6,0.4,0
47,0,50,0,0,1,0
48,19,31,0,0.38,0.62,0
49,0,50,0,0,1,0
50,23,27,0,0.46,0.54,0
51,15,35,0,0.3,0.7,0
52,8,42,0,0.16,0.84,0
53,2,48,0,0.04,0.96,0
54,0,0,50,0,0,1
